key,loudness,speechiness,acousticness,instrumentalness,valence,genre,energy,danceability,tempo
0,-6.839,0.0321,0.731,0,0.557,rock,0.721,0.482,95.263
1,-9.027,0.0495,1.22e-05,0.0162,0.767,rock,0.863,0.485,116.835
4,-14.162,0.0675,0.29,0.000106,0.175,rock,0.457,0.364,163.219
1,-10.934,0.0388,0.0822,2.54e-05,0.331,pop,0.413,0.398,133.574
10,-10.851,0.0915,0.735,6.2e-05,0.968,rhythmic,0.756,0.518,166.429
0,-5.226,0.041,0.164,2.2e-05,0.965,rhythmic,0.558,0.805,114.95
4,-7.032,0.042,0.181,0,0.818,pop,0.769,0.511,129.657
1,-9.632,0.0985,0.451,0,0.83,rhythmic,0.716,0.282,201.958
8,-13.017,0.0393,0.195,0,0.679,rhythmic,0.324,0.729,116.855
2,-7.842,0.0353,0.0348,0.127,0.904,rock,0.853,0.725,136.282
11,-3.051,0.0401,0.0236,0.0153,0.847,rhythmic,0.654,0.92,117.046
4,-11.476,0.0619,0.849,2.1e-06,0.701,rock,0.223,0.688,93.551
4,-9.773,0.073,0.0511,0,0.68,rock,0.868,0.253,146.647
0,-6.558,0.0988,0.165,9.33e-05,0.745,rock,0.822,0.332,96.253
2,-6.198,0.0511,5.24e-05,0.825,0.909,rock,0.956,0.443,146.754
6,-7.525,0.0299,0.253,0,0.483,pop,0.487,0.521,117.072
2,-13.522,0.0535,0.724,1.65e-06,0.598,rhythmic,0.312,0.484,205.981
0,-2.435,0.0552,0.0588,0.000249,0.964,hip hop,0.967,0.719,79.505
0,-7.649,0.101,0.0556,0.000396,0.212,rock,0.949,0.359,134.118
2,-6.196,0.155,0.0254,0.000125,0.454,pop,0.854,0.541,86.044
0,-6.958,0.048,0.0738,0,0.726,rock,0.797,0.653,133.725
9,-10.814,0.306,0.565,1.13e-06,0.583,rock,0.673,0.566,114.385
10,-12.277,0.178,0.336,0.000138,0.289,rock,0.502,0.39,97.871
0,-3.81,0.0591,0.782,0,0.962,rhythmic,0.591,0.532,184.4
7,-12.453,0.0339,0.575,0.00674,0.213,rock,0.335,0.346,84.204
10,-10.58,0.202,0.0249,4.76e-06,0.732,hip hop,0.607,0.947,100.619
4,-11.278,0.0708,0.657,2.31e-05,0.789,rhythmic,0.618,0.506,89.023
0,-12.358,0.0252,0.907,0.183,0.169,rock,0.257,0.547,75.752
10,-10.042,0.0342,0.756,0,0.508,rhythmic,0.4,0.214,169.683
7,-6.977,0.0292,0.000265,0.585,0.429,rock,0.774,0.478,112.577
9,-4.613,0.049,0.0102,4.45e-05,0.84,rhythmic,0.989,0.729,126.47
1,-11.496,0.0695,0.0308,0.00221,0.872,rhythmic,0.657,0.609,100.607
0,-7.341,0.0404,0.00596,7.99e-05,0.538,rock,0.839,0.319,144.938
1,-8.128,0.0309,0.463,0.0408,0.509,rock,0.616,0.63,118.65
10,-15.835,0.0313,0.963,0.000291,0.0608,pop,0.104,0.304,81.02
1,-8.208,0.0907,0.412,1.19e-06,0.958,rock,0.908,0.571,137.43
2,-6.596,0.226,0.00249,0,0.681,pop,0.77,0.646,99.165
4,-7.62,0.0864,0.00666,0.35,0.303,rock,0.466,0.745,123.889
9,-5.992,0.0285,0.0767,0,0.82,rock,0.841,0.672,125.437
9,-7.756,0.0602,0.00105,0.000376,0.541,rock,0.901,0.304,147.199
0,-9.928,0.0499,0.271,0,0.224,rock,0.404,0.414,71.105
0,-7.873,0.0512,0.00708,0.831,0.918,rock,0.758,0.757,130.505
2,-5.27,0.0754,0.00876,0.578,0.486,rock,0.905,0.533,108.9
1,-9.818,0.0636,0.102,0,0.948,rock,0.709,0.623,122.394
8,-13.534,0.0394,0.29,9.68e-05,0.887,rhythmic,0.548,0.639,98.359
8,-4.589,0.0336,0.0505,0.00714,0.64,hip hop,0.587,0.855,111.97
1,-9.702,0.0269,0.569,0,0.324,pop,0.389,0.357,94.211
10,-9.435,0.0261,0.0304,3.64e-05,0.631,rock,0.566,0.394,148.029
1,-7.273,0.0246,0.253,0,0.476,rock,0.692,0.517,107.958
9,-8.795,0.0382,0.000458,0.000893,0.514,rock,0.665,0.273,104.656
0,-6.653,0.209,0.533,0.134,0.668,pop,0.787,0.78,177.835
9,-8.053,0.0349,0.8,0,0.851,rock,0.523,0.654,126.819
3,-5.787,0.0324,0.369,2.16e-05,0.44,rock,0.725,0.413,124.618
5,-16.098,0.0491,0.0166,0.633,0.92,pop,0.659,0.639,126.436
